#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown
#
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  4.29e+07  |3508253344|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.87041033|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.98352186|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.75091298|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.46356227|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.76347569|  PASSED  
        diehard_opso|   0|   2097152|     100|0.89086558|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.68552325|  PASSED  
         diehard_dna|   0|   2097152|     100|0.76524957|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.87053330|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.83097390|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.86439180|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.27427347|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.30651311|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.74926749|  PASSED  
        diehard_sums|   0|       100|     100|0.23570074|  PASSED  
        diehard_runs|   0|    100000|     100|0.06832058|  PASSED  
        diehard_runs|   0|    100000|     100|0.41647795|  PASSED  
       diehard_craps|   0|    200000|     100|0.27735003|  PASSED  
       diehard_craps|   0|    200000|     100|0.31340942|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.98355752|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.19403558|  PASSED  
         sts_monobit|   1|    100000|     100|0.28137681|  PASSED  
            sts_runs|   2|    100000|     100|0.55278723|  PASSED  
          sts_serial|   1|    100000|     100|0.81845565|  PASSED  
          sts_serial|   2|    100000|     100|0.79852783|  PASSED  
          sts_serial|   3|    100000|     100|0.76290358|  PASSED  
          sts_serial|   3|    100000|     100|0.98458040|  PASSED  
          sts_serial|   4|    100000|     100|0.81994106|  PASSED  
          sts_serial|   4|    100000|     100|0.99746545|   WEAK   
          sts_serial|   5|    100000|     100|0.54171374|  PASSED  
          sts_serial|   5|    100000|     100|0.38743756|  PASSED  
          sts_serial|   6|    100000|     100|0.65522780|  PASSED  
          sts_serial|   6|    100000|     100|0.18426372|  PASSED  
          sts_serial|   7|    100000|     100|0.65189489|  PASSED  
          sts_serial|   7|    100000|     100|0.79787534|  PASSED  
          sts_serial|   8|    100000|     100|0.92648492|  PASSED  
          sts_serial|   8|    100000|     100|0.75054458|  PASSED  
          sts_serial|   9|    100000|     100|0.99764405|   WEAK   
          sts_serial|   9|    100000|     100|0.27981002|  PASSED  
          sts_serial|  10|    100000|     100|0.73692382|  PASSED  
          sts_serial|  10|    100000|     100|0.59149503|  PASSED  
          sts_serial|  11|    100000|     100|0.69763839|  PASSED  
          sts_serial|  11|    100000|     100|0.65866180|  PASSED  
          sts_serial|  12|    100000|     100|0.64208368|  PASSED  
          sts_serial|  12|    100000|     100|0.06084453|  PASSED  
          sts_serial|  13|    100000|     100|0.50489453|  PASSED  
          sts_serial|  13|    100000|     100|0.84464117|  PASSED  
          sts_serial|  14|    100000|     100|0.24515192|  PASSED  
          sts_serial|  14|    100000|     100|0.78711899|  PASSED  
          sts_serial|  15|    100000|     100|0.90704949|  PASSED  
          sts_serial|  15|    100000|     100|0.15555327|  PASSED  
          sts_serial|  16|    100000|     100|0.81599578|  PASSED  
          sts_serial|  16|    100000|     100|0.32063597|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.39444269|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.99058245|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.39096470|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.75745748|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.06113317|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.01961659|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.09637693|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.91303037|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.55626558|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.11278672|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.17303707|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.16024630|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.68978159|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.07532656|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.64800511|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.37873713|  PASSED  
